title,runtime,genre(s),director(s),writer(s),actor(s),rating(s),number of rating(s)
Apocalypse Now,289 min, Drama; War,Francis Ford Coppola,John Milius;Francis Ford Coppola;Zoetrope Studios;Zoetrope Studios,Marlon Brando;Martin Sheen;Robert Duvall;Frederic Forrest;Sam Bottoms;Laurence Fishburne;Albert Hall;Harrison Ford;Dennis Hopper;G.D. Spradlin;Jerry Ziesmer;Scott Glenn;Bo Byers;James Keane;Kerry Rossall,,"416,560"
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,95 min, Comedy; War,Stanley Kubrick,Stanley Kubrick;Terry Southern;Columbia Pictures Corporation;Hawk Films,Peter Sellers;George C. Scott;Sterling Hayden;Keenan Wynn;Slim Pickens;Peter Bull;James Earl Jones;Tracy Reed;Jack Creley;Frank Berry;Robert O'Neil;Glenn Beck;Roy Stephens;Shane Rimmer;Hal Galili,,"317,652"
Sunset Blvd.,104 min, Drama; Film-Noir,Billy Wilder,Charles Brackett;Billy Wilder;Paramount Pictures,William Holden;Gloria Swanson;Erich von Stroheim;Nancy Olson;Fred Clark;Lloyd Gough;Jack Webb;Franklyn Farnum;Larry J. Blake;Charles Dayton;Cecil B. DeMille;Hedda Hopper;Buster Keaton;Anna Q. Nilsson;H.B. Warner,,"128,103"
The Prestige,130 min, Drama; Mystery; Thriller,Christopher Nolan,Jonathan Nolan;Christopher Nolan;Touchstone Pictures;Warner Bros.;Newmarket Productions,Hugh Jackman;Christian Bale;Michael Caine;Piper Perabo;Rebecca Hall;Scarlett Johansson;Samantha Mahurin;David Bowie;Andy Serkis;Daniel Davis;Jim Piddock;Christopher Neame;Mark Ryan;Roger Rees;Jamie Harris,,"762,829"
Alien,116 min, Horror; Sci-Fi,Ridley Scott,Dan O'Bannon;Ronald Shusett;Brandywine Productions;Twentieth Century-Fox Productions,Tom Skerritt;Sigourney Weaver;Veronica Cartwright;Harry Dean Stanton;John Hurt;Ian Holm;Yaphet Kotto;Bolaji Badejo;Helen Horton,,"515,140"
De leeuwenkoning,73 min, Animation; Adventure; Drama; Family; Musical,Roger Allers;Rob Minkoff,Irene Mecchi;Jonathan Roberts;Walt Disney Pictures;Walt Disney Feature Animation,Matthew Broderick;Jonathan Taylor Thomas;James Earl Jones;Jim Cummings;Jeremy Irons;Moira Kelly;Niketa Calame;Ernie Sabella;Nathan Lane;Robert Guillaume;Rowan Atkinson;Madge Sinclair;Whoopi Goldberg;Cheech Marin;Jason Weaver,,"574,863"
De dictator,125 min, Comedy; Drama; War,Charles Chaplin,Charles Chaplin;Charles Chaplin Productions,Charles Chaplin;Jack Oakie;Reginald Gardiner;Henry Daniell;Billy Gilbert;Grace Hayle;Carter DeHaven;Paulette Goddard;Maurice Moscovitch;Emma Dunn;Bernard Gorcey;Paul Weigel;Chester Conklin;Esther Michelson;Hank Mann,,"122,891"
The Lives of Others,137 min, Drama; Thriller,Florian Henckel von Donnersmarck,Florian Henckel von Donnersmarck;Wiedemann &amp; Berg Filmproduktion;Bayerischer Rundfunk (BR);Arte,Martina Gedeck;Ulrich Mühe;Sebastian Koch;Ulrich Tukur;Thomas Thieme;Hans-Uwe Bauer;Volkmar Kleinert;Matthias Brenner;Charly Hübner;Herbert Knaup;Bastian Trost;Marie Gruber;Volker Michalowski;Werner Daehn;Martin Brambach,,"237,485"
Nuovo Cinema Paradiso,124 min, Drama,Giuseppe Tornatore,Giuseppe Tornatore;Giuseppe Tornatore;Cristaldifilm;Les Films Ariane;Rai 3,Antonella Attili;Enzo Cannavale;Isa Danieli;Leo Gullotta;Marco Leonardi;Pupella Maggio;Agnese Nano;Leopoldo Trieste;Salvatore Cascio;Tano Cimarosa;Nicola Di Pinto;Roberta Lena;Nino Terzo;Jacques Perrin;Brigitte Fossey,,"137,323"
The Shining,146 min, Drama; Horror,Stanley Kubrick,Stephen King;Stanley Kubrick;Warner Bros.;Hawk Films;Peregrine,Jack Nicholson;Shelley Duvall;Danny Lloyd;Scatman Crothers;Barry Nelson;Philip Stone;Joe Turkel;Anne Jackson;Tony Burton;Lia Beldam;Billie Gibson;Barry Dennen;David Baxt;Manning Redwood;Lisa Burns,,"553,291"
