title,runtime,genre(s),director(s),writer(s),actor(s),rating(s),number of rating(s)
Toy Story,74 min, Animation; Adventure; Comedy; Family; Fantasy,John Lasseter,John Lasseter;Pete Docter;Pixar Animation Studios;Walt Disney Pictures,Tom Hanks;Tim Allen;Don Rickles;Jim Varney;Wallace Shawn;John Ratzenberger;Annie Potts;John Morris;Erik von Detten;Laurie Metcalf;R. Lee Ermey;Sarah Freeman;Penn Jillette;Jack Angel;Spencer Aste,,"559,147"
Per qualche dollaro in più,132 min, Western,Sergio Leone,Sergio Leone;Fulvio Morsella;Produzioni Europee Associati (PEA);Arturo González Producciones Cinematográficas;Constantin Film Produktion,Clint Eastwood;Lee Van Cleef;Gian Maria Volonté;Mario Brega;Luigi Pistilli;Aldo Sambrell;Klaus Kinski;Benito Stefanelli;Luis Rodríguez;Panos Papadopulos;Mara Krupp;Roberto Camardiel;Joseph Egger;Tomás Blanco;Lorenzo Robledo,,"141,236"
L.A. Confidential,138 min, Crime; Drama; Mystery; Thriller,Curtis Hanson,"James Ellroy;Brian Helgeland;Regency Enterprises;Wolper Organization, The;Warner Bros.",Kevin Spacey;Russell Crowe;Guy Pearce;James Cromwell;Kim Basinger;Danny DeVito;David Strathairn;Ron Rifkin;Matt McCoy;Paul Guilfoyle;Paolo Seganti;Elisabeth Granli;Sandra Taylor;Steve Rankin;Graham Beckel,,"386,631"
Rashômon,88 min, Crime; Drama,Akira Kurosawa,Ryûnosuke Akutagawa;Akira Kurosawa;Daiei Motion Picture Company,Toshirô Mifune;Machiko Kyô;Masayuki Mori;Takashi Shimura;Minoru Chiaki;Kichijirô Ueda;Noriko Honma;Daisuke Katô,,"93,657"
Inglourious Basterds,153 min, Adventure; Drama; War,Quentin Tarantino;Eli Roth,"Quentin Tarantino;Universal Pictures;Weinstein Company, The;A Band Apart",Brad Pitt;Mélanie Laurent;Christoph Waltz;Eli Roth;Michael Fassbender;Diane Kruger;Daniel Brühl;Til Schweiger;Gedeon Burkhard;Jacky Ido;B.J. Novak;Omar Doom;August Diehl;Denis Ménochet;Sylvester Groth,,"789,528"
The Apartment,125 min, Comedy; Drama; Romance,Billy Wilder,"Billy Wilder;I.A.L. Diamond;Mirisch Corporation, The",Jack Lemmon;Shirley MacLaine;Fred MacMurray;Ray Walston;Jack Kruschen;David Lewis;Hope Holiday;Joan Shawlee;Naomi Stevens;Johnny Seven;Joyce Jameson;Willard Waterman;David White;Edie Adams,,"99,451"
All About Eve,138 min, Drama,Joseph L. Mankiewicz,Joseph L. Mankiewicz;Twentieth Century Fox Film Corporation,Bette Davis;Anne Baxter;George Sanders;Celeste Holm;Gary Merrill;Hugh Marlowe;Gregory Ratoff;Barbara Bates;Marilyn Monroe;Thelma Ritter;Walter Hampden;Randy Stuart;Craig Hill;Leland Harris;Barbara White,,"76,557"
The Treasure of the Sierra Madre,126 min, Action; Adventure; Drama; Western,John Huston,John Huston;B. Traven;Warner Bros.,Humphrey Bogart;Walter Huston;Tim Holt;Bruce Bennett;Barton MacLane;Alfonso Bedoya;Arturo Soto Rangel;Manuel Dondé;José Torvay;Margarito Luna,,"73,111"
Indiana Jones and the Last Crusade,127 min, Action; Adventure,Steven Spielberg,Jeffrey Boam;George Lucas;Paramount Pictures;Lucasfilm,Harrison Ford;Sean Connery;Denholm Elliott;Alison Doody;John Rhys-Davies;Julian Glover;River Phoenix;Michael Byrne;Kevork Malikyan;Robert Eddison;Richard Young;Alexei Sayle;Alex Hyde-White;Paul Maxwell;Isla Blair,,"470,051"
Jodaeiye Nader az Simin,123 min, Drama,Asghar Farhadi,Asghar Farhadi;Asghar Farhadi,Peyman Moaadi;Leila Hatami;Sareh Bayat;Shahab Hosseini;Sarina Farhadi;Merila Zare'i;Ali-Asghar Shahbazi;Babak Karimi;Kimia Hosseini;Shirin Yazdanbakhsh;Sahabanu Zolghadr;Mohammadhasan Asghari;Shirin Azimiyannezhad;Hamid Dadju;Mohammad Ebrahimian,,"138,788"
Metropolis,145 min, Drama; Sci-Fi,Fritz Lang,Thea von Harbou;Thea von Harbou;Universum Film (UFA),Alfred Abel;Gustav Fröhlich;Rudolf Klein-Rogge;Fritz Rasp;Theodor Loos;Erwin Biswanger;Heinrich George;Brigitte Helm,,"102,257"
Yôjinbô,110 min, Drama,Akira Kurosawa,Akira Kurosawa;Akira Kurosawa;Kurosawa Production Co.;Toho Company,Toshirô Mifune;Tatsuya Nakadai;Yôko Tsukasa;Isuzu Yamada;Daisuke Katô;Seizaburô Kawazu;Takashi Shimura;Hiroshi Tachikawa;Yôsuke Natsuki;Eijirô Tôno;Kamatari Fujiwara;Ikio Sawamura;Atsushi Watanabe;Susumu Fujita;Kyû Sazanka,,"67,697"
Scarface,142 min, Crime; Drama,Brian De Palma,Oliver Stone;Universal Pictures,Al Pacino;Steven Bauer;Michelle Pfeiffer;Mary Elizabeth Mastrantonio;Robert Loggia;Miriam Colon;F. Murray Abraham;Paul Shenar;Harris Yulin;Ángel Salazar;Arnaldo Santana;Pepe Serna;Michael P. Moran;Al Israel;Dennis Holahan,,"492,410"
Some Like It Hot,120 min, Comedy,Billy Wilder,"Billy Wilder;I.A.L. Diamond;Ashton Productions;Mirisch Corporation, The",Marilyn Monroe;Tony Curtis;Jack Lemmon;George Raft;Pat O'Brien;Joe E. Brown;Nehemiah Persoff;Joan Shawlee;Billy Gray;George E. Stone;Dave Barry;Mike Mazurki;Harry Wilson;Beverly Wills;Barbara Drew,,"161,627"
Batman Begins,128 min, Action; Adventure,Christopher Nolan,Bob Kane;David S. Goyer;Warner Bros.;Syncopy;DC Comics,Christian Bale;Michael Caine;Liam Neeson;Katie Holmes;Gary Oldman;Cillian Murphy;Tom Wilkinson;Rutger Hauer;Ken Watanabe;Mark Boone Junior;Linus Roache;Morgan Freeman;Larry Holden;Gerard Murphy;Colin McFarlane,,"884,622"
The Third Man,104 min, Film-Noir; Mystery; Thriller,Carol Reed,Graham Greene;Graham Greene;Carol Reed's Production;London Film Productions,Joseph Cotten;Alida Valli;Orson Welles;Trevor Howard;Bernard Lee;Paul Hörbiger;Ernst Deutsch;Siegfried Breuer;Erich Ponto;Wilfrid Hyde-White;Hedwig Bleibtreu,,"105,054"
Unforgiven,131 min, Western,Clint Eastwood,David Webb Peoples;Warner Bros.;Malpaso Productions,Clint Eastwood;Gene Hackman;Morgan Freeman;Richard Harris;Jaimz Woolvett;Saul Rubinek;Frances Fisher;Anna Levine;David Mucci;Rob Campbell;Anthony James;Tara Frederick;Beverley Elliott;Liisa Repo-Martell;Josie Smith,,"256,060"
3 Idiots,170 min, Comedy; Drama,Rajkumar Hirani,Rajkumar Hirani;Abhijat Joshi;Vinod Chopra Productions,Aamir Khan;Madhavan;Sharman Joshi;Kareena Kapoor;Boman Irani;Omi Vaidya;Mona Singh;Javed Jaffrey;Parikshat Sahni;Olivier Lafont;Rahul Kumar;Amardeep Jha;Farida Dadi;Mukund Bhatt;Chaitali Bose,,"177,617"
Up,96 min, Animation; Adventure; Comedy; Family,Pete Docter;Bob Peterson,Pete Docter;Bob Peterson;Walt Disney Pictures;Pixar Animation Studios,Edward Asner;Christopher Plummer;Jordan Nagai;Bob Peterson;Delroy Lindo;Jerome Ranft;John Ratzenberger;David Kaye;Elie Docter;Jeremy Leary;Mickie McGowan;Danny Mann;Donald Fullilove;Jess Harnell;Josh Cooley,,"593,219"
Raging Bull,121 min, Biography; Drama; Sport,Martin Scorsese,Jake LaMotta;Joseph Carter;United Artists;Chartoff-Winkler Productions,Robert De Niro;Cathy Moriarty;Joe Pesci;Frank Vincent;Nicholas Colasanto;Theresa Saldana;Mario Gallo;Frank Adonis;Joseph Bono;Frank Topham;Lori Anne Flax;Charles Scorsese;Don Dunphy;Bill Hanrahan;Rita Bennett,,"217,292"
Jagten,115 min, Drama,Thomas Vinterberg,Tobias Lindholm;Thomas Vinterberg;Danmarks Radio (DR);Det Danske Filminstitut;Eurimages,Mads Mikkelsen;Thomas Bo Larsen;Annika Wedderkopp;Lasse Fogelstrøm;Susse Wold;Anne Louise Hassing;Lars Ranthe;Alexandra Rapaport;Sebastian Bull Sarning;Steen Ordell Guldbrand Jensen;Daniel Engstrup;Troels Thorsen;Søren Rønholt;Hana Shuan;Jytte Kvinesdal,,"145,562"
Der Untergang,178 min, Biography; Drama; War,Oliver Hirschbiegel,Bernd Eichinger;Joachim Fest;Constantin Film Produktion;Norddeutscher Rundfunk (NDR);Westdeutscher Rundfunk (WDR),Bruno Ganz;Alexandra Maria Lara;Corinna Harfouch;Ulrich Matthes;Juliane Köhler;Heino Ferch;Christian Berkel;Matthias Habich;Thomas Kretschmann;Michael Mendl;André Hennicke;Ulrich Noethen;Birgit Minichmayr;Rolf Kanies;Justus von Dohnányi,,"230,363"
Good Will Hunting,126 min, Drama,Gus Van Sant,Matt Damon;Ben Affleck;Be Gentlemen Limited Partnership;Lawrence Bender Productions;Miramax,Matt Damon;Robin Williams;Ben Affleck;Stellan Skarsgård;Minnie Driver;Casey Affleck;Cole Hauser;John Mighton;Rachel Majorowski;Colleen McCauley;Matt Mercier;Ralph St. George;Rob Lynds;Dan Washington;Alison Folland,,"549,020"
The Great Escape,172 min, Adventure; Drama; History; War,John Sturges,"Paul Brickhill;James Clavell;Mirisch Company, The;Alpha",Steve McQueen;James Garner;Richard Attenborough;James Donald;Charles Bronson;Donald Pleasence;James Coburn;Hannes Messemer;David McCallum;Gordon Jackson;John Leyton;Angus Lennie;Nigel Stock;Robert Graf;Jud Taylor,,"152,396"
Chinatown,130 min, Crime; Drama; Mystery; Thriller,Roman Polanski,Robert Towne;Paramount Pictures;Penthouse;Long Road Productions,Jack Nicholson;Faye Dunaway;John Huston;Perry Lopez;John Hillerman;Darrell Zwerling;Diane Ladd;Roy Jenson;Roman Polanski;Richard Bakalyan;Joe Mantell;Bruce Glover;Nandu Hinds;James O'Rear;James Hong,,"199,310"
Die Hard,131 min, Action; Thriller,John McTiernan,Roderick Thorp;Jeb Stuart;Twentieth Century Fox Film Corporation;Gordon Company;Silver Pictures,Bruce Willis;Bonnie Bedelia;Reginald VelJohnson;Paul Gleason;William Atherton;Hart Bochner;James Shigeta;Alan Rickman;Alexander Godunov;Bruno Doyon;De'voreaux White;Andreas Wisniewski;Clarence Gilyard Jr.;Joey Plewa;Lorenzo Caccialanza,,"546,226"
Heat,170 min, Action; Crime; Drama; Thriller,Michael Mann,Michael Mann;Warner Bros.;Regency Enterprises;Forward Pass,Al Pacino;Robert De Niro;Val Kilmer;Jon Voight;Tom Sizemore;Diane Venora;Amy Brenneman;Ashley Judd;Mykelti Williamson;Wes Studi;Ted Levine;Dennis Haysbert;William Fichtner;Natalie Portman;Tom Noonan,,"400,186"
On the Waterfront,108 min, Crime; Drama,Elia Kazan,Budd Schulberg;Budd Schulberg;Columbia Pictures Corporation;Horizon Pictures,Marlon Brando;Karl Malden;Lee J. Cobb;Rod Steiger;Pat Henning;Leif Erickson;James Westerfield;Tony Galento;Tami Mauriello;John F. Hamilton;John Heldabrand;Rudy Bond;Don Blackman;Arthur Keegan;Abe Simon,,"92,184"
Pan's Labyrinth,112 min, Drama; Fantasy; War,Guillermo del Toro,Guillermo del Toro;Estudios Picasso;Tequila Gang;Esperanto Filmoj,Ivana Baquero;Sergi López;Maribel Verdú;Doug Jones;Ariadna Gil;Álex Angulo;Manolo Solo;César Vea;Roger Casamajor;Ivan Massagué;Gonzalo Uriarte;Eusebio Lázaro;Francisco Vidal;Juanjo Cucalón;Lina Mira,,"430,828"
Mr. Smith Goes to Washington,120 min, Drama,Frank Capra,Sidney Buchman;Lewis R. Foster;Columbia Pictures Corporation,Jean Arthur;James Stewart;Claude Rains;Edward Arnold;Guy Kibbee;Thomas Mitchell;Eugene Pallette;Beulah Bondi;H.B. Warner;Harry Carey;Astrid Allwyn;Ruth Donnelly;Grant Mitchell;Porter Hall;Larry Simms,,"71,582"
The Bridge on the River Kwai,161 min, Adventure; Drama; War,David Lean,Pierre Boulle;Carl Foreman;Columbia Pictures Corporation;Horizon Pictures (II),William Holden;Alec Guinness;Jack Hawkins;Sessue Hayakawa;James Donald;Geoffrey Horne;André Morell;Peter Williams;John Boxer;Percy Herbert;Harold Goodwin;Ann Sears;Heihachirô Ôkawa;Keiichirô Katsumoto;M.R.B. Chakrabandhu,,"136,849"
Tonari no Totoro,86 min, Animation; Family; Fantasy,Hayao Miyazaki,Hayao Miyazaki;Tokuma Japan Communications;Studio Ghibli;Nibariki,Chika Sakamoto;Hitoshi Takagi;Noriko Hidaka;Shigesato Itoi;Tanie Kitabayashi;Toshiyuki Amagasa;Naoki Tatsuta;Frank Welker;Lea Salonga;Pat Carroll;Tim Daly;Paul Butcher;Cheryl Chase;Shigeru Chiba;Lara Cody,,"150,375"
Ran,162 min, Action; Drama; War,Akira Kurosawa,Akira Kurosawa;Hideo Oguni;Greenwich Film Productions;Herald Ace;Nippon Herald Films,Tatsuya Nakadai;Akira Terao;Jinpachi Nezu;Daisuke Ryû;Mieko Harada;Yoshiko Miyazaki;Hisashi Igawa;Pîtâ;Masayuki Yui;Kazuo Katô;Norio Matsui;Toshiya Ito;Kenji Kodama;Takashi Watanabe;Mansai Nomura,,"71,370"
The Gold Rush,81 min, Adventure; Comedy; Drama,Charles Chaplin,Charles Chaplin;Charles Chaplin Productions,Charles Chaplin;Mack Swain;Tom Murray;Henry Bergman;Malcolm Waite;Georgia Hale,,"61,143"
Ikiru,123 min, Drama,Akira Kurosawa,Akira Kurosawa;Shinobu Hashimoto;Toho Company,Takashi Shimura;Shin'ichi Himori;Haruo Tanaka;Minoru Chiaki;Miki Odagiri;Bokuzen Hidari;Minosuke Yamada;Kamatari Fujiwara;Makoto Kobori;Nobuo Kaneko;Nobuo Nakamura;Atsushi Watanabe;Isao Kimura;Masao Shimizu;Yûnosuke Itô,,"38,109"
Det sjunde inseglet,96 min, Drama; Fantasy,Ingmar Bergman,Ingmar Bergman;Ingmar Bergman;Svensk Filmindustri (SF),Gunnar Björnstrand;Bengt Ekerot;Nils Poppe;Max von Sydow;Bibi Andersson;Inga Gill;Maud Hansson;Inga Landgré;Gunnel Lindblom;Bertil Anderberg;Anders Ek;Åke Fridell;Gunnar Olsson;Erik Strandmark,,"102,366"
Blade Runner,117 min, Sci-Fi; Thriller,Ridley Scott,"Hampton Fancher;David Webb Peoples;Ladd Company, The;Shaw Brothers;Warner Bros.",Harrison Ford;Rutger Hauer;Sean Young;Edward James Olmos;M. Emmet Walsh;Daryl Hannah;William Sanderson;Brion James;Joe Turkel;Joanna Cassidy;James Hong;Morgan Paull;Kevin Thompson;John Edward Allen;Hy Pyke,,"427,642"
El secreto de sus ojos,129 min, Drama; Mystery; Thriller,Juan José Campanella,Eduardo Sacheri;Juan José Campanella;Tornasol Films;Haddock Films;100 Bares,Soledad Villamil;Ricardo Darín;Carla Quevedo;Pablo Rago;Javier Godino;Bárbara Palladino;Rudy Romano;Alejandro Abelenda;Mario Alarcón;Guillermo Francella;Sebastián Blanco;Mariano Argento;José Luis Gioia;Juan José Ortíz;Kiko Cerone,,"114,960"
Smultronstället,91 min, Drama,Ingmar Bergman,Ingmar Bergman;Svensk Filmindustri (SF),Victor Sjöström;Bibi Andersson;Ingrid Thulin;Gunnar Björnstrand;Jullan Kindahl;Folke Sundquist;Björn Bjelfvenstam;Naima Wifstrand;Gunnel Broström;Gertrud Fridh;Sif Ruud;Gunnar Sjöberg;Max von Sydow;Åke Fridell;Yngve Nordwall,,"57,873"
"Lock, Stock and Two Smoking Barrels",120 min, Comedy; Crime,Guy Ritchie,"Guy Ritchie;Summit Entertainment;Steve Tisch Company, The;SKA Films",Jason Flemyng;Dexter Fletcher;Nick Moran;Jason Statham;Steven Mackintosh;Nicholas Rowe;Nick Marcq;Charles Forbes;Vinnie Jones;Lenny McLean;Peter McNicholl;P.H. Moriarty;Frank Harper;Steve Sweeney;Huggy Leaver,,"385,330"
The General,78 min, Action; Adventure; Comedy; War,Clyde Bruckman;Buster Keaton,Buster Keaton;Clyde Bruckman;Buster Keaton Productions;Joseph M. Schenck Productions,Buster Keaton;Marion Mack;Glen Cavender;Jim Farley;Frederick Vroom;Charles Henry Smith;Frank Barnes;Joe Keaton;Mike Donlin;Tom Nawn,,"48,217"
The Elephant Man,124 min, Biography; Drama,David Lynch,Christopher De Vore;Eric Bergren;Brooksfilms,Anthony Hopkins;John Hurt;Anne Bancroft;John Gielgud;Wendy Hiller;Freddie Jones;Michael Elphick;Hannah Gordon;Helen Ryan;John Standing;Dexter Fletcher;Lesley Dunlop;Phoebe Nicholls;Pat Gorman;Claire Davenport,,"150,148"
Mad Max: Fury Road,120 min, Action; Adventure; Sci-Fi; Thriller,George Miller,George Miller;Brendan McCarthy;Kennedy Miller Productions;Village Roadshow Pictures;Village Roadshow Pictures,Tom Hardy;Charlize Theron;Nicholas Hoult;Hugh Keays-Byrne;Josh Helman;Nathan Jones;Zoë Kravitz;Rosie Huntington-Whiteley;Riley Keough;Abbey Lee;Courtney Eaton;John Howard;Richard Carter;Iota;Angus Sampson,,"366,362"
Casino,178 min, Biography; Crime; Drama,Martin Scorsese,Nicholas Pileggi;Nicholas Pileggi;Universal Pictures;Syalis DA;Légende Entreprises,Robert De Niro;Sharon Stone;Joe Pesci;James Woods;Don Rickles;Alan King;Kevin Pollak;L.Q. Jones;Dick Smothers;Frank Vincent;John Bloom;Pasquale Cajano;Melissa Prophet;Bill Allison;Vinny Vella,,"305,185"
Hauru no ugoku shiro,119 min, Animation; Adventure; Family; Fantasy,Hayao Miyazaki,Hayao Miyazaki;Diana Wynne Jones;Buena Vista Home Entertainment;DENTSU Music And Entertainment;Mitsubishi,Chieko Baishô;Takuya Kimura;Akihiro Miwa;Tatsuya Gashûin;Ryûnosuke Kamiki;Mitsunori Isaki;Yô Ôizumi;Akio Ôtsuka;Daijirô Harada;Haruko Katô;Jean Simmons;Christian Bale;Lauren Bacall;Blythe Danner;Emily Mortimer,,"191,148"
Warrior,140 min, Drama; Sport,Gavin O'Connor,Gavin O'Connor;Anthony Tambakis;Lionsgate;Mimran Schur Pictures;Solaris,Joel Edgerton;Tom Hardy;Nick Nolte;Jennifer Morrison;Frank Grillo;Kevin Dunn;Maximiliano Hernández;Bryan Callen;Sam Sheridan;Fernando Chien;Jake McLaughlin;Vanessa Martinez;Denzel Whitaker;Carlos Miranda;Manuel Espinosa,,"300,964"
The Wolf of Wall Street,240 min, Biography; Comedy; Crime; Drama,Martin Scorsese,Terence Winter;Jordan Belfort;Paramount Pictures;Red Granite Pictures;Appian Way,Leonardo DiCaprio;Jonah Hill;Margot Robbie;Matthew McConaughey;Kyle Chandler;Rob Reiner;Jon Bernthal;Jon Favreau;Jean Dujardin;Joanna Lumley;Cristin Milioti;Christine Ebersole;Shea Whigham;Katarina Cas;P.J. Byrne,,"666,025"
Gran Torino,116 min, Drama,Clint Eastwood,Nick Schenk;Dave Johannson;Matten Productions;Double Nickel Entertainment;Gerber Pictures,Clint Eastwood;Christopher Carley;Bee Vang;Ahney Her;Brian Haley;Geraldine Hughes;Dreama Walker;Brian Howe;John Carroll Lynch;William Hill;Brooke Chia Thao;Chee Thao;Choua Kue;Scott Eastwood;Xia Soua Chang,,"519,033"
V for Vendetta,132 min, Action; Drama; Thriller,James McTeigue,Andy Wachowski;Lana Wachowski;Warner Bros.;Virtual Studios;Silver Pictures,Natalie Portman;Hugo Weaving;Stephen Rea;Stephen Fry;John Hurt;Tim Pigott-Smith;Rupert Graves;Roger Allam;Ben Miles;Sinéad Cusack;Natasha Wightman;John Standing;Eddie Marsan;Clive Ashborn;Emma Field-Rayner,,"725,340"
Oordeel te Neurenberg,186 min, Drama; History; War,Stanley Kramer,Abby Mann;Abby Mann;Roxlom Films Inc.,Spencer Tracy;Burt Lancaster;Richard Widmark;Marlene Dietrich;Maximilian Schell;Judy Garland;Montgomery Clift;William Shatner;Werner Klemperer;Kenneth MacKenna;Torben Meyer;Joseph Bernard;Alan Baxter;Edward Binns;Virginia Christine,,"39,518"
The Big Lebowski,117 min, Comedy; Crime,Joel Coen;Ethan Coen,Ethan Coen;Joel Coen;Polygram Filmed Entertainment;Working Title Films,Jeff Bridges;John Goodman;Julianne Moore;Steve Buscemi;David Huddleston;Philip Seymour Hoffman;Tara Reid;Philip Moon;Mark Pellegrino;Peter Stormare;Flea;Torsten Voges;Jimmie Dale Gilmore;Jack Kehler;John Turturro,,"491,292"
The Martian,144 min, Adventure; Comedy; Drama; Sci-Fi,Ridley Scott,Drew Goddard;Andy Weir;Twentieth Century Fox Film Corporation;TSG Entertainment;Scott Free Productions,Matt Damon;Jessica Chastain;Kristen Wiig;Jeff Daniels;Michael Peña;Sean Bean;Kate Mara;Sebastian Stan;Aksel Hennie;Chiwetel Ejiofor;Benedict Wong;Mackenzie Davis;Donald Glover;Nick Mohammed;Chen Shu,,"149,103"
Rebecca,130 min, Film-Noir; Mystery; Thriller,Alfred Hitchcock,Daphne Du Maurier;Robert E. Sherwood;Selznick International Pictures,Laurence Olivier;Joan Fontaine;George Sanders;Judith Anderson;Nigel Bruce;Reginald Denny;C. Aubrey Smith;Gladys Cooper;Florence Bates;Melville Cooper;Leo G. Carroll;Leonard Carey;Lumsden Hare;Edward Fielding;Philip Winter,,"80,747"
A Beautiful Mind,135 min, Biography; Drama,Ron Howard,Akiva Goldsman;Sylvia Nasar;Universal Pictures;DreamWorks SKG;Imagine Entertainment,Russell Crowe;Ed Harris;Jennifer Connelly;Christopher Plummer;Paul Bettany;Adam Goldberg;Josh Lucas;Anthony Rapp;Jason Gray-Stanford;Judd Hirsch;Austin Pendleton;Vivien Cardone;Jillie Simon;Victor Steinbach;Tanya Clarke,,"549,279"
The Deer Hunter,183 min, Drama; War,Michael Cimino,Michael Cimino;Deric Washburn;EMI Films;Universal Pictures,Robert De Niro;John Cazale;John Savage;Christopher Walken;Meryl Streep;George Dzundza;Chuck Aspegren;Shirley Stoler;Rutanya Alda;Pierre Segui;Mady Kaplan;Amy Wright;Mary Ann Haenel;Richard Kuss;Joe Grifasi,,"215,617"
How to Train Your Dragon,98 min, Animation; Adventure; Family; Fantasy,Dean DeBlois;Chris Sanders,William Davies;Dean DeBlois;DreamWorks Animation;Mad Hatter Entertainment;Vertigo Entertainment,Jay Baruchel;Gerard Butler;Craig Ferguson;America Ferrera;Jonah Hill;Christopher Mintz-Plasse;T.J. Miller;Kristen Wiig;Robin Atkin Downes;Philip McGrade;Kieron Elliott;Ashley Jensen;David Tennant,,"435,123"
Cool Hand Luke,126 min, Crime; Drama,Stuart Rosenberg,Donn Pearce;Frank Pierson;Jalem Productions,Paul Newman;George Kennedy;J.D. Cannon;Lou Antonio;Robert Drivas;Strother Martin;Jo Van Fleet;Clifton James;Morgan Woodward;Luke Askew;Marc Cavell;Richard Davalos;Robert Donner;Warren Finnerty;Dennis Hopper,,"111,391"
Gone with the Wind,226 min, Drama; Romance; War,Victor Fleming;George Cukor,Margaret Mitchell;Sidney Howard;Selznick International Pictures;Metro-Goldwyn-Mayer (MGM),Thomas Mitchell;Barbara O'Neil;Vivien Leigh;Evelyn Keyes;Ann Rutherford;George Reeves;Fred Crane;Hattie McDaniel;Oscar Polk;Butterfly McQueen;Victor Jory;Everett Brown;Howard C. Hickman;Alicia Rhett;Leslie Howard,,"198,633"
Fargo,98 min, Crime; Drama; Thriller,Joel Coen;Ethan Coen,Ethan Coen;Joel Coen;PolyGram Filmed Entertainment;Working Title Films,William H. Macy;Steve Buscemi;Peter Stormare;Kristin Rudrüd;Harve Presnell;Tony Denman;Gary Houston;Sally Wingert;Kurt Schweickhardt;Larissa Kokernot;Melissa Peterman;Steve Reevis;Warren Keith;Steve Edelman;Sharon Anderson,,"412,511"
Trainspotting,94 min, Drama,Danny Boyle,Irvine Welsh;John Hodge;Channel Four Films;Figment Films;The Noel Gay Motion Picture Company,Ewan McGregor;Ewen Bremner;Jonny Lee Miller;Kevin McKidd;Robert Carlyle;Kelly Macdonald;Peter Mullan;James Cosmo;Eileen Nicholas;Susan Vidler;Pauline Lynch;Shirley Henderson;Stuart McQuarrie;Irvine Welsh;Dale Winton,,"433,256"
Dial M for Murder,105 min, Crime; Thriller,Alfred Hitchcock,Frederick Knott;Frederick Knott;Warner Bros.,Ray Milland;Grace Kelly;Robert Cummings;John Williams;Anthony Dawson;Leo Britt;Patrick Allen;George Leigh;George Alderson;Robin Hughes,,"96,048"
Het gebeurde op 'n avond,65 min, Comedy; Romance,Frank Capra,Robert Riskin;Samuel Hopkins Adams;Columbia Pictures Corporation,Clark Gable;Claudette Colbert;Walter Connolly;Roscoe Karns;Jameson Thomas;Alan Hale;Arthur Hoyt;Blanche Friderici;Charles C. Wilson,,"58,883"
Into the Wild,148 min, Adventure; Biography; Drama,Sean Penn,Sean Penn;Jon Krakauer;Paramount Vantage;Art Linson Productions;Into the Wild,Emile Hirsch;Marcia Gay Harden;William Hurt;Jena Malone;Brian H. Dierker;Catherine Keener;Vince Vaughn;Kristen Stewart;Hal Holbrook;Jim Gallien;James O'Neill;Malinda McCollum;Paul Knauls;Zach Galifianakis;Craig Mutsch,,"387,926"
The Sixth Sense,107 min, Drama; Mystery; Thriller,M. Night Shyamalan,"M. Night Shyamalan;Hollywood Pictures;Spyglass Entertainment;Kennedy/Marshall Company, The",Bruce Willis;Haley Joel Osment;Toni Collette;Olivia Williams;Trevor Morgan;Donnie Wahlberg;Peter Anthony Tambakis;Jeffrey Zubernis;Bruce Norris;Glenn Fitzgerald;Greg Wood;Mischa Barton;Angelica Page;Lisa Summerour;Firdous Bamji,,"651,866"
Gone Girl,149 min, Drama; Mystery; Thriller,David Fincher,Gillian Flynn;Gillian Flynn;Twentieth Century Fox Film Corporation;Regency Enterprises;TSG Entertainment,Ben Affleck;Rosamund Pike;Neil Patrick Harris;Tyler Perry;Carrie Coon;Kim Dickens;Patrick Fugit;David Clennon;Lisa Banes;Missi Pyle;Emily Ratajkowski;Casey Wilson;Lola Kirke;Boyd Holbrook;Sela Ward,,"483,904"
Incendies,139 min, Drama; Mystery; War,Denis Villeneuve,Denis Villeneuve;Wajdi Mouawad;micro_scope;TS Productions;Phi Group,Mustafa Kamel;Hussein Sami;Rémy Girard;Mélissa Désormeaux-Poulin;Maxim Gaudette;Dominique Briand;Lubna Azabal;Frédéric Paquet;Hamed Najem;Ahmad Massad;Bader Alami;Majida Hussein;Asriah Nijres;John Dunn-Hill;Nadia Essadiqi,,"69,345"
Finding Nemo,100 min, Animation; Adventure; Comedy; Family,Andrew Stanton;Lee Unkrich,Andrew Stanton;Andrew Stanton;Walt Disney Pictures;Pixar Animation Studios;Disney Enterprises,Albert Brooks;Ellen DeGeneres;Alexander Gould;Willem Dafoe;Brad Garrett;Allison Janney;Austin Pendleton;Stephen Root;Vicki Lewis;Joe Ranft;Geoffrey Rush;Andrew Stanton;Elizabeth Perkins;Nicholas Bird;Bob Peterson,,"617,437"
Rush,123 min, Action; Biography; Drama; Sport,Ron Howard,Peter Morgan;Exclusive Media Group;Cross Creek Pictures;Imagine Entertainment,Chris Hemsworth;Daniel Brühl;Olivia Wilde;Alexandra Maria Lara;Pierfrancesco Favino;David Calder;Natalie Dormer;Stephen Mangan;Christian McKay;Alistair Petrie;Julian Rhind-Tutt;Colin Stinton;Jamie de Courcey;Augusto Dallara;Ilario Calvo,,"274,368"
Mary and Max,92 min, Animation; Comedy; Drama,Adam Elliot,Adam Elliot;Melodrama Pictures,Toni Collette;Philip Seymour Hoffman;Barry Humphries;Eric Bana;Bethany Whitmore;Renée Geyer;Ian 'Molly' Meldrum;Julie Forsyth;John Flaus;Christopher Massey;Shaun Patten;Carolyn Shakespeare-Allen;Leanne Smith,,"107,332"
